::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 Photoionisation model P6, MAPPINGS V v5.1.13 
::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 (Diffuse Field , Robust Integration, Radiation Pressure)

 Run   :, example II                                                                                      
 Input :, INTERACTIVE                     
 Output:, photn0001.ph6                   

 Abundances:
 El.,log[X/H],12+[X/H],log[Del],log[Dep],log[Gas],12+[Gas], Mass Fr.
     1862.790,  6.6558E+00,  3.2369E-04, Al III   , CM  ,    2
     1882.707,  6.5854E+00,  5.8313E-02, Si III   , CM  ,    2
     1892.029,  6.5530E+00,  3.7131E-02, Si III   , CM  ,    2
     1906.683,  6.5026E+00,  1.6787E-01, C  III   , CM  ,    2
     1908.734,  6.4956E+00,  1.1096E-01, C  III   , CM  ,    2
     1910.436,  6.4898E+00,  1.0913E-05, C  II    , RB  ,    4
     1974.610,  6.2789E+00,  1.3116E-05, Fe III   , CM  ,    2
     2108.508,  5.8802E+00,  4.4919E-05, He II    , RCAB,    1
     2115.829,  5.8598E+00,  5.3271E-05, He II    , RCAB,    1
     2124.634,  5.8356E+00,  6.3880E-05, He II    , RCAB,    1
     2135.354,  5.8063E+00,  7.7473E-05, He II    , RCAB,    1
     2137.698,  5.7999E+00,  1.8164E-05, C  II    , RB  ,    4
     2139.008,  5.7963E+00,  1.4830E-04, N  II    , CM  ,    2
     2142.773,  5.7862E+00,  3.6347E-04, N  II    , CM  ,    2
     2148.603,  5.7705E+00,  9.5306E-05, He II    , RCAB,    1
     2165.252,  5.7261E+00,  1.1917E-04, He II    , RCAB,    1
     2186.608,  5.6702E+00,  1.5167E-04, He II    , RCAB,    1
     2214.675,  5.5983E+00,  1.9737E-04, He II    , RCAB,    1
     2252.693,  5.5038E+00,  2.6397E-04, He II    , RCAB,    1
     2296.871,  5.3980E+00,  4.8426E-05, C  III   , CC  ,    3
     2306.197,  5.3761E+00,  3.6491E-04, He II    , RCAB,    1
     2320.951,  5.3420E+00,  2.1548E-02, O  III   , CM  ,    2
     2323.560,  5.3360E+00,  8.5991E-04, C  II    , CM  ,    2
     2324.695,  5.3334E+00,  1.7533E-03, C  II    , CM  ,    2
     2325.408,  5.3317E+00,  5.5197E-03, C  II    , CM  ,    2
     2326.989,  5.3281E+00,  5.1973E-03, C  II    , CM  ,    2
     2328.127,  5.3255E+00,  1.9856E-03, C  II    , CM  ,    2
